Processado - Código:0001013937390 310715 
Não Processado - Código:0001014269710 310715 
Não Processado - Código:0001014271960 310715 
Não Processado - Código:0001014282570 310715 
Não Processado - Código:00010144581P0 310715 
Não Processado - Código:0001014461310 310715 
Não Processado - Código:0001014499550 310715 
Não Processado - Código:0001014501980 310715 
Não Processado - Código:0001014560210 310715 
Não Processado - Código:00010145603P0 310715 
Não Processado - Código:0001014571330 310715 
Não Processado - Código:0001014583340 310715 
Não Processado - Código:0001014584580 310715 
Não Processado - Código:0001014586950 310715 
Não Processado - Código:0001014603980 310715 
Não Processado - Código:0001014604010 310715 
Não Processado - Código:0001014608780 310715 
Não Processado - Código:0001014617420 310715 
Não Processado - Código:0001014654460 310715 
Não Processado - Código:0001014693440 310715 
Não Processado - Código:0001014722050 310715 
Não Processado - Código:0001014792180 310715 
Não Processado - Código:0001014845800 310715 
Não Processado - Código:0001014850640 310715 
Não Processado - Código:0001014871050 310715 
Não Processado - Código:0001014887480 310715 
Não Processado - Código:0001014890000 310715 
Não Processado - Código:0001014893610 310715 
Não Processado - Código:0001014944030 310715 
Não Processado - Código:0001014946830 310715 
Não Processado - Código:0001014995450 310715 
Não Processado - Código:0001015072380 310715 
Não Processado - Código:00010150834P0 310715 
Não Processado - Código:00010151482P0 310715 
Não Processado - Código:0001015155590 310715 
Não Processado - Código:0001015180940 310715 
Não Processado - Código:0001015265850 310715 
Não Processado - Código:0001015269410 310715 
Não Processado - Código:0001015276620 310715 
Não Processado - Código:0001015337510 310715 
Não Processado - Código:0001015343910 310715 
Não Processado - Código:00010153684P0 310715 
Não Processado - Código:0001015374550 310715 
Não Processado - Código:0001015379430 310715 
Não Processado - Código:0001015401030 310715 
Não Processado - Código:00010154107P0 310715 
Não Processado - Código:0001015414360 310715 
Não Processado - Código:0001015421730 310715 
Não Processado - Código:0001015422970 310715 
Não Processado - Código:0001015428820 310715 
Não Processado - Código:00010154799P0 310715 
Não Processado - Código:0001015483680 310715 
Não Processado - Código:0001015498280 310715 
Não Processado - Código:0001015660560 310715 
Não Processado - Código:0001015669270 310715 
Não Processado - Código:0001015693570 310715 
Não Processado - Código:0001015707380 310715 
Não Processado - Código:0001015787980 310715 
Não Processado - Código:0001015804310 310715 
Não Processado - Código:0001015862270 310715 
Não Processado - Código:0001015863400 310715 
Não Processado - Código:00010158710P0 310715 
Não Processado - Código:0001015874600 310715 
Não Processado - Código:0001015879590 310715 
Não Processado - Código:0001015883190 310715 
Não Processado - Código:0001015885560 310715 
Não Processado - Código:0001015912550 310715 
Não Processado - Código:0001015941220 310715 
Não Processado - Código:0001016035200 310715 
Não Processado - Código:0001016062440 310715 
Não Processado - Código:0001016147000 310715 
Não Processado - Código:0001016184630 310715 
Não Processado - Código:0001016196640 310715 
Não Processado - Código:00010162174P0 310715 
Não Processado - Código:0001016224950 310715 
Não Processado - Código:0001016245280 310715 
Não Processado - Código:0001016248890 310715 
Não Processado - Código:0001016256050 310715 
Não Processado - Código:0001016263420 310715 
Não Processado - Código:0001016356000 310715 
Não Processado - Código:0001016388630 310715 
Não Processado - Código:00010163910P0 310715 
Não Processado - Código:0001016431660 310715 
Não Processado - Código:0001016440220 310715 
Não Processado - Código:0001016481250 310715 
Não Processado - Código:0001016482490 310715 
Não Processado - Código:0001016484860 310715 
Não Processado - Código:0001016563220 310715 
Não Processado - Código:00010166144P0 310715 
Não Processado - Código:0001016616870 310715 
Não Processado - Código:0001016625270 310715 
Não Processado - Código:0001016642440 310715 
